Date,MinTemp,MaxTemp,Rainfall,RainToday,Evaporation,Sunshine,AvgHumidity,AvgPressure,AvgCloud
3/1/2013,14.7,20.6,33,No,7,8.9,58,1015.45,4
3/2/2013,12.8,22,0.2,Yes,6.2,11.3,50.5,1020.75,0.5
3/3/2013,14.2,23.4,5.4,No,6.4,7.3,73.5,1025.7,4.5
3/4/2013,15,23.1,0.2,No,2.6,11.2,67.5,1024.15,1
3/5/2013,15.5,25.4,0,No,6.8,11.3,67,1019.55,1
3/6/2013,18.7,25.8,0,No,6,8.7,68,1024.5,4.5
3/7/2013,19.6,26,0,No,5,10.4,66,1022,1
3/8/2013,19.9,24.9,0,Yes,7.6,4.5,79,1021,6
3/9/2013,16.5,24.8,17.4,No,6,9.6,79.5,1022.85,1.5
3/10/2013,16.4,24.3,0,No,4.6,10.2,73,1025.35,1.5
3/11/2013,19.3,26.3,0,No,4.6,10.8,63,1023.8,0.5
3/12/2013,18.6,26.1,0,No,7.6,11.3,65,1021.7,0
3/13/2013,19.3,26.4,0,No,7,11.1,68.5,1020.35,1
3/14/2013,19.2,26.1,0,No,6,10.6,76.5,1019.35,2.5
3/15/2013,18.8,26,0,No,5.4,11,73,1021.4,2
3/16/2013,19.3,26.1,0,No,7,11.3,72,1021.5,1
3/17/2013,19.7,25.8,0,No,5.6,10.1,75,1023.6,2
3/18/2013,19.5,25.7,0,No,6.4,10,71,1023.8,2.5
3/19/2013,19,26.7,0,No,8,9.7,65.5,1021.65,1
3/20/2013,19.9,26.9,0,No,6.6,6.3,65,1020.3,6
3/21/2013,19.7,28.1,0,No,6,10.4,64,1011.95,2
3/22/2013,17.7,19.6,1,Yes,7,0,83.5,1018.1,8
3/23/2013,16.9,23.2,2.2,No,2.2,0.6,70.5,1022.5,7
3/24/2013,16.3,24.8,0.4,Yes,4,6.1,69.5,1021.85,5.5
3/25/2013,18.5,24.3,17,No,2.6,8,83.5,1017,4
3/26/2013,19.8,27.5,0.4,Yes,6.4,2.5,69.5,1009,6
3/27/2013,17,27.2,19,No,2.4,10.5,57,1008.4,3
3/28/2013,15,23.6,0,No,5.8,11,47,1014.05,1
3/29/2013,15.2,21.7,0,No,2.6,8.3,61,1016.65,3.5
3/30/2013,14.4,22.9,0.2,No,4.8,9.3,75,1013.3,2.5
3/31/2013,13.1,26.8,0,No,4.6,10.9,41.5,1011,0.5
4/1/2013,13.5,25.6,0,No,5.8,10.4,44,1013.75,2.5
4/2/2013,13.7,23.9,0,No,6.6,11,54.5,1022.25,1
4/3/2013,14.1,28.7,0,No,3.8,10.5,54.5,1015.7,4
4/4/2013,16.4,22.2,0,No,10.6,9.7,31.5,1010.35,3.5
4/5/2013,11.2,22.2,0,No,7.6,10.6,42,1020,0.5
4/6/2013,11.6,22.7,0,No,4.2,10.7,60.5,1023.95,0.5
4/7/2013,13.1,22.7,0,Yes,3.6,6.4,63,1025.9,5.5
4/8/2013,15.3,22,12,Yes,3.2,4.7,76.5,1025.25,5.5
4/9/2013,14.6,22.1,9.6,Yes,5.4,5.1,80.5,1025.3,6
4/10/2013,15.6,22.2,22.8,Yes,5.4,5.8,79,1023,6
4/11/2013,13.8,22.7,2.2,No,3.6,10.6,68.5,1020.9,3
4/12/2013,14.1,23.5,0,No,3.2,8.9,72,1018.8,3
4/13/2013,14,23.8,0,No,4,7.8,69,1017.3,5.5
4/14/2013,15.1,22.7,0,Yes,1.8,6.6,78,1014.9,5.5
4/15/2013,13.2,18.9,11,Yes,3.2,5.2,73,1019.4,5
4/16/2013,13.8,19.7,2.8,Yes,2.8,1.7,78,1024.65,7
4/17/2013,13.8,20.9,1.4,Yes,4.6,2.2,81.5,1025.5,7.5
4/18/2013,14.9,19.7,4.6,Yes,1.4,0.8,81.5,1024.25,7
4/19/2013,15.3,20,6.4,Yes,3.2,0.3,84.5,1024.55,7.5
4/20/2013,15.9,21.4,5,Yes,4.8,5,56,1026.65,6.5
4/21/2013,15.2,19.1,2.8,Yes,4,1.3,77,1025.15,6.5
4/22/2013,14.7,19.3,21.8,Yes,7.5,4.6,80.5,1022.3,7.5
4/23/2013,14.4,20.3,10.2,Yes,3.6,2,72.5,1022.95,6
4/24/2013,14.7,17.9,12.6,Yes,4,0.7,89.5,1023.05,7
4/25/2013,14.7,20,15.6,Yes,1.6,2.5,86.5,1019.95,7
4/26/2013,12.7,24.8,0.4,No,2.6,10.2,59.5,1009.1,4.5
4/27/2013,15.6,26.1,0,No,5.2,7.6,39.5,1002.15,4
4/28/2013,11.9,16.8,0,No,7.6,8.5,39.5,1008,4
4/29/2013,8.6,18.4,0,No,3.8,10.5,47.5,1020.1,1
4/30/2013,8.4,19.6,0,No,3.6,9.8,59,1022.75,2
5/1/2013,11.6,18.2,0,No,4,2.7,65,1018.2,7
5/2/2013,10.8,22.2,0,No,2.4,9.1,54.5,1017,2
5/3/2013,10.9,19.6,0,No,3.4,10.5,57,1018.1,1
5/4/2013,9.4,20.3,0,No,3.6,10.3,55.5,1019.7,1
5/5/2013,9.4,22.3,0,No,2,10,52.5,1016.95,1.5
5/6/2013,11.8,23.6,0,No,3.4,3.1,61,1015.2,6.5
5/7/2013,13,23,0,No,3.6,9.4,50.5,1013.05,2
5/8/2013,11,21.8,0,No,3.2,10.2,54,1018.35,1
5/9/2013,11,21.9,0,No,3.2,10.1,67.5,1020.8,0.5
5/10/2013,12.6,21.3,0,No,3,9.6,76.5,1020.9,1
5/11/2013,14,19.4,0,No,1.2,2.1,75.5,1022.15,7
5/12/2013,12.4,19.5,0,No,1.6,7.3,75.5,1022,1
5/13/2013,13.2,19.7,0,No,1.8,4.2,77.5,1022.55,6.5
5/14/2013,11.2,20.6,0,No,2,9.7,73,1022.15,1
5/15/2013,12,21.4,0.2,Yes,3.2,8.7,75,1020,1
5/16/2013,13.8,23.2,1.2,No,2.2,6.4,72,1015.05,4
5/17/2013,15.2,21.8,0,No,4.2,6.9,46.5,1006,5
5/18/2013,8.8,17.8,0,No,4.2,9.4,46.5,1006.65,1
5/19/2013,10.7,20.5,0,No,4.4,9.9,47,1014.5,0.5
5/20/2013,10.3,21.7,0,No,3,10,51,1018.8,1
5/21/2013,11.1,18.9,0,No,2.4,6.1,69,1022.6,5.5
5/22/2013,11.9,18.7,0,No,4,7.5,57.5,1027.2,1.5
5/23/2013,11,18.4,0,No,3.4,5.4,64.5,1025.75,3
5/24/2013,11.4,20.1,0,No,2.4,9.1,55,1024.05,1
5/25/2013,8.8,18.3,0,No,3.6,6.5,68,1023.65,3.5
5/26/2013,10.9,21.1,0.4,No,0.4,9.1,69.5,1024.25,4
5/27/2013,11.5,22.4,0,No,3.2,8.7,76.5,1023.2,2
5/28/2013,11,19.2,0,No,1.6,3.9,77,1024.75,4.5
5/29/2013,11,18.6,1,No,1,4.6,81,1029.65,2.5
5/30/2013,10.9,21,0.2,No,1.4,5.6,72.5,1030.35,1.5
5/31/2013,10.8,20.1,0,No,1,9.4,75.5,1027.63,1
6/1/2013,11.6,20.5,0.2,Yes,2.2,0.3,82.5,1028.15,7
6/2/2013,14.3,17.6,22,Yes,1.8,0.1,93.5,1026.05,7.5
6/3/2013,15.2,19.1,4,Yes,0.4,0,94,1025.25,8
6/4/2013,15.5,18.3,9.2,Yes,2.4,0,87.5,1021.8,8
6/5/2013,15.2,16.9,46.4,Yes,2.4,0,83,1019.35,7.5
6/6/2013,14.7,17.4,12.4,No,0.4,1.8,75.5,1020.75,6.5
6/7/2013,11.7,18.2,0,Yes,2.2,8.8,62.5,1025.35,1
6/8/2013,12.7,17.7,6,Yes,1.4,0.5,84,1030.95,7.5
6/9/2013,13,16.9,3.6,Yes,1.2,1.2,92.5,1029.45,7.5
6/10/2013,12.4,19.9,1.6,No,1.6,3.9,83,1025.7,4
6/11/2013,13.2,19.9,0,Yes,1.8,0,72,1021.75,7.5
6/12/2013,13.7,22.1,5.4,No,1.8,6.9,80.5,1020.25,4.5
6/13/2013,14,18.8,0,No,3.4,8.6,54.5,1011.85,1.5
6/14/2013,9.6,14.6,0,No,3.8,3.4,50.5,1022.25,6
6/15/2013,10.6,15.3,0,Yes,2.8,0.1,81,1023.6,7.5
6/16/2013,13.3,16.8,7.2,Yes,5,2.4,84.5,1023.6,6.5
6/17/2013,13.1,17.5,3.4,No,0.8,1.3,80.5,1025.75,7
6/18/2013,13.6,19.4,0,No,1.6,4.1,79.5,1023.8,7.5
6/19/2013,12.8,20.3,0,Yes,2,5,80,1018.85,6.5
6/20/2013,13.8,17.9,3.6,Yes,0.6,0.6,70.5,1017.25,7
6/21/2013,11.6,18.5,2.2,No,1.8,9.4,53,1019.8,1
6/22/2013,9.7,17.3,0,No,3.4,9.3,57.5,1023.6,2
6/23/2013,8.2,17.1,0,No,3.4,7,58.5,1022.05,4
6/24/2013,9.2,19.2,0,No,1.8,9.2,58.5,1025.05,1
6/25/2013,9.9,19.6,0,No,2.8,9.8,56,1022.6,0.5
6/26/2013,10.2,20.2,0,No,3.2,9.7,42.5,1016.9,0.5
6/27/2013,9.5,19.4,0,No,4.4,9.3,44.5,1024.75,0
6/28/2013,7.9,18.7,0,No,3,8.8,55.5,1026.15,1
6/29/2013,7.9,21,0,No,0.8,9.8,63,1021.45,1.5
6/30/2013,9.2,22.1,0,No,3.2,9.8,41,1013.7,1
7/1/2013,10.3,19.6,0.2,No,3.8,9.5,39.5,1009.75,0.5
7/2/2013,10.8,19.2,0,No,4,9.7,45,1011.85,1
7/3/2013,9.2,17.9,0,Yes,3.2,9.6,52.5,1021.75,1
7/4/2013,8.2,15,1.2,Yes,2.4,0.4,86,1028.6,7
7/5/2013,9.1,17.4,14.2,No,1.6,2.5,63,1030.4,6
7/6/2013,8.3,18.4,0,No,2.2,7.8,71.5,1027.45,2
7/7/2013,9.7,19.8,0,No,2.2,4.3,71,1022.05,6
7/8/2013,10.5,17.2,0.2,No,1.6,5.5,64.5,1019.15,2.5
7/9/2013,6.9,13.3,0,Yes,2.8,4.6,50,1016.85,4.5
7/10/2013,7.2,15.8,1.8,No,2.4,4.9,48,1012.3,5
7/11/2013,10,16.5,0,No,4.8,9.8,36.5,1016.75,1
7/12/2013,5.7,15.9,0,No,3.4,8.3,56,1025.5,5.5
7/13/2013,7.8,17.3,0,No,2.6,0,62.5,1022.7,8
7/14/2013,10.1,23.1,0,No,1.8,6.1,67,1019.4,4
7/15/2013,9.7,19.8,0,No,1.8,9.7,75.5,1019.6,1
7/16/2013,8.9,18,0,No,2,9.6,65.5,1020.65,1
7/17/2013,8.2,18.5,0,No,1.4,9,61,1016.25,4.5
7/18/2013,8.2,18.7,0,No,4,8.7,47,1008.7,1
7/19/2013,8.1,18.2,0,No,3.4,9.5,42.5,1015.15,1.5
7/20/2013,10.8,17.6,0,Yes,3.2,0,48,1012,8
7/21/2013,10.4,17.5,2.8,No,1.6,9.7,43.5,1007.15,1
7/22/2013,7.2,15.1,0,No,3.8,10,41.5,1025,0.5
7/23/2013,5.5,14.7,0,Yes,4,4,64,1030.55,6
7/24/2013,6.9,15.9,7,Yes,0.2,1.7,82.5,1027.35,7.5
7/25/2013,9.8,12.7,8.8,Yes,2.4,0.1,87,1021.35,7.5
7/26/2013,6.2,17,16.2,No,1.4,8.6,63,1016.3,3
7/27/2013,6.3,17.6,0,Yes,2,7.6,56,1010.85,4.5
7/28/2013,7,13.6,3.8,Yes,3,3.6,79,1011.3,7
7/29/2013,8,15,33.2,No,1.4,6.9,72.5,1016.15,6
7/30/2013,6,17,0.2,No,2.6,9.7,54,1015.2,1.5
7/31/2013,6,20.3,0,No,3.4,10.2,56.5,1014.1,1.5
8/1/2013,7.9,20.8,0,No,4.6,1.8,43,1004.05,6.5
8/2/2013,9.7,16.8,0,No,4.6,10.1,40,1013.25,1
8/3/2013,9.4,18.8,0,No,3.6,10,43,1019.05,0.5
8/4/2013,8.1,17.2,0,No,3,5.9,53.5,1018.75,6
8/5/2013,6.6,16.3,0,No,3.4,8.5,59.5,1017.6,3
8/6/2013,8.8,15.5,0,No,3.4,3.4,79.5,1015.25,7
8/7/2013,8.3,16.5,0.8,Yes,0.4,6,74.5,1016.25,4
8/8/2013,8.2,18.6,4.6,No,1.4,5.7,48,1016.65,6
8/9/2013,6.9,17.3,0,No,4,9.6,46.5,1020,2.5
8/10/2013,6.7,15.6,0,No,3,5.9,50,1014,2
8/11/2013,7,15.9,0.4,No,3.6,10.7,40.5,1015.7,2.5
8/12/2013,6.8,16.3,0,No,3,10,39,1020.25,1
8/13/2013,8.4,17.4,0,No,4,10.5,41.5,1022.45,1.5
8/14/2013,7.2,18.5,0,No,4,10.4,39.5,1018.35,0.5
8/15/2013,9.4,18.8,0,No,4.6,10.7,41,1011.8,1
8/16/2013,10.5,18,0,No,4,9.2,45,1011.15,2.5
8/17/2013,6.9,16.4,0,No,4.6,10.4,40,1021.85,1
8/18/2013,5.6,15.8,0,No,3.4,7.6,46,1023.05,6.5
8/19/2013,5.3,17.6,0.6,No,1.8,10.8,48.5,1027.1,3
8/20/2013,8.2,19.5,0,No,3.8,7.4,46.5,1024.9,7
8/21/2013,9.4,20.2,0,Yes,3.2,1.1,51,1019.8,7.5
8/22/2013,10.2,11.9,2.6,Yes,3.4,0,88.5,1015.8,8
8/23/2013,7.3,14.8,20.8,No,1.6,5.9,59,1023.45,7
8/24/2013,5.5,17.3,0,No,3,10.4,55,1028.75,1.5
8/25/2013,8.2,16.4,0,No,3.6,7.1,62,1027.35,6
8/26/2013,8.5,21.5,0,No,2.6,9.3,64.5,1021.35,2.5
8/27/2013,8.8,16.9,2.4,No,3.2,8.5,72,1026.65,4
8/28/2013,8.7,18.2,0,No,4.2,10.1,66,1024,3
8/29/2013,8.1,16,0,Yes,4.8,6.3,73.5,1021.25,6
8/30/2013,12.1,19.2,12,No,4.8,0.3,81,1010.3775,7
8/31/2013,10.4,21,0.2,No,4,11.3,47.5,1021.85,0
9/1/2013,8.7,20.6,0,No,3,11.1,47.5,1025.25,0.5
9/2/2013,9.7,17.9,0,No,3.4,6.2,65.5,1032.5,7
9/3/2013,13.5,17.1,0.4,Yes,4.6,0.7,59.5,1032.6,7.5
9/4/2013,13.1,15.7,1.6,Yes,4.4,0,82,1022.85,8
9/5/2013,11.8,14.2,62.2,Yes,4.8,0,90,1013.95,8
9/6/2013,9.5,19,21.6,No,0,9.4,60,1015.25,4
9/7/2013,9.4,17.5,0,No,3.4,9.9,59.5,1018.85,1.5
9/8/2013,8.4,16.4,0,No,6.2,10.9,46,1023.45,1
9/9/2013,7,16.8,0,No,4,10.7,55,1020.9,1
9/10/2013,7.1,17.7,0,No,3,10.3,66,1016.7,1.5
9/11/2013,8.7,24.3,0,No,3.6,10.8,44,1012.85,1
9/12/2013,14.8,30.6,0,Yes,7.4,10.6,43.5,1012.25,2
9/13/2013,17.2,23.5,3.6,Yes,9.6,2.8,80.5,1009.6,7
9/14/2013,16.9,27.9,4,No,3,11,40.5,1006.55,1
9/15/2013,12.3,19.8,0,No,10.6,11.3,27.5,1016.15,1
9/16/2013,10.7,16.3,0,No,7.2,4.6,59,1024.9,6
9/17/2013,9.4,19.4,0,No,3.6,10.1,62,1018.8,2.5
9/18/2013,14.6,25.8,0,No,4.2,10.4,57,1013.4,0.5
9/19/2013,18.8,32.8,0,No,7.6,10.9,31.5,1008,3
9/20/2013,15.8,21.6,0,No,9,10.9,67,1017.1,2
9/21/2013,13.2,29.8,0,Yes,4.4,7.5,48.5,1009.3,3.5
9/22/2013,15.6,17,2.6,Yes,10.4,3,74,1016.75,6.5
9/23/2013,9.7,18.6,2.2,No,2.4,11.1,55,1029.45,2
9/24/2013,10.3,18.6,0,No,4,10.9,60.5,1029.7,1
9/25/2013,11.3,22.2,0,No,6.2,11.4,54.5,1021.35,3
9/26/2013,14,25.4,0,No,5.6,11.4,64.5,1018.65,2.5
9/27/2013,19.8,32.9,0,No,6.6,8.4,48.5,1008.45,2
9/28/2013,13.5,21.8,0,No,6.6,7.1,52.5,1014.7,4
9/29/2013,11.9,19.2,0.8,No,6.4,11.1,54.5,1018.5385,1.5
9/30/2013,12.6,24.7,0,No,5.2,10.6,69.5,1018.3,3.5
10/1/2013,18.9,31.1,0,No,6.6,10,41.5,1015.2,2
10/2/2013,22.5,34.8,0,Yes,8.6,9.8,30.5,1012.55,4
10/3/2013,17.5,19.4,9.6,Yes,10.4,0,88.5,1014.05,7.5
10/4/2013,14.6,19.1,3.4,Yes,1,0,89.5,1016.85,8
10/5/2013,14.9,22.8,1.8,No,2,3.3,78,1006.55,7.5
10/6/2013,9.7,20.6,0.4,No,3.4,11.7,46.5,1016.05,1
10/7/2013,10.9,19.7,0,No,4.8,10,50,1018.7,2.5
10/8/2013,10.5,19.9,0,No,5.4,11.7,57,1025.95,1
10/9/2013,12.6,21.5,0,No,6,10.7,66.5,1027.2,3
10/10/2013,14.6,22.3,0,No,6.6,7.2,73.5,1025.85,4
10/11/2013,14.2,22.5,0,No,3.6,10.6,72.5,1023.4,1
10/12/2013,16.1,29.2,0,No,7,9.2,57.5,1019,2
10/13/2013,16.6,21,0.6,Yes,9.2,2.3,86.5,1018.85,7.5
10/14/2013,15.1,18.9,9,No,3.2,5,59,1021.8,7.5
10/15/2013,11.8,22.1,0,No,4.2,11.4,53,1024.45,1
10/16/2013,12.9,24.9,0,No,5.8,11.7,60,1022.6,1.5
10/17/2013,16.7,23.2,0,No,7.4,10.3,79.5,1023.7,3.5
10/18/2013,16.5,26.8,0,No,7.8,10.8,56,1020.4,1.5
10/19/2013,17.1,22.2,0,Yes,8,5.7,65.5,1020.8,4
10/20/2013,14.5,19.2,1.8,Yes,5.2,8.4,63.5,1020.25,6.5
10/21/2013,9.9,14.3,12.6,Yes,6,2.3,80.5,1022,7
10/22/2013,7.9,15.7,11.4,Yes,4.2,5,73,1022.85,6.5
10/23/2013,9,20.2,2,No,2.4,10.2,58.5,1021.1,6
10/24/2013,12.3,24,0,No,4.8,11.5,56.5,1016.7,1
10/25/2013,14.4,24.4,0,No,8,8.7,57.5,1015.1,6.5
10/26/2013,19.8,33.6,0,No,7.6,11.8,46.5,1013,1.5
10/27/2013,17.6,21.9,0,Yes,11.4,5.7,68.5,1020.35,6.5
10/28/2013,16.8,17.3,6.2,Yes,4.6,0,92,1024.05,8
10/29/2013,15.1,25.8,7.6,No,1.2,3.7,81,1019.65,7
10/30/2013,16.9,35,0.2,No,3.2,5,38.5,1007.65,6.5
10/31/2013,18,21.2,0.4,No,10.2,2.4,68.5,1022.4,7
11/1/2013,17.5,23.1,0.8,Yes,4.6,0.2,66,1022.95,7
11/2/2013,17.2,30.3,2.8,No,3.4,10.3,48.5,1007.85,3
11/3/2013,15.5,19,0.2,No,7.8,6.2,60.5,1015.45,6.5
11/4/2013,14.5,21,0,No,7.8,5,59.5,1013.05,7
11/5/2013,15.2,30.3,0,No,6,10.3,51.5,1008.15,6
11/6/2013,16,24.1,0,No,8.4,4.1,60.5,1012.8,7
11/7/2013,18.4,25.2,0.2,No,5.2,0.2,54.5,1002.8,7.5
11/8/2013,16.6,23,0.4,No,4.4,11,53,1017.55,1.5
11/9/2013,17.4,23.3,0,No,8,8.1,59.5,1022.7,3
11/10/2013,15.9,23.1,0,No,5.2,9.9,57.5,1022.4,2.5
11/11/2013,16.4,24.6,0,No,6.6,10.7,61.5,1018.6,4
11/12/2013,19,24.9,0,No,8,11.9,63,1017.65,3
11/13/2013,19.2,27,0,Yes,10.6,9.1,61,1012.2,5
11/14/2013,18.5,23.1,6.6,Yes,9.4,2.4,82.5,1012.85,7.5
11/15/2013,17.2,22.4,1.2,No,3.4,4,69.5,1016.55,7
11/16/2013,15.5,20.9,0,No,6.8,1.4,55,1018.65,7
11/17/2013,16.2,23.4,0,Yes,4,8.3,60,1015.35,7.5
11/18/2013,17,22.1,6.2,Yes,7.8,1,84.5,1009.8,8
11/19/2013,17.3,27.6,29.4,No,4.6,7.5,64.5,999.3,4
11/20/2013,16.7,27.7,0.2,No,7,11.8,40,998.8,2
11/21/2013,17.9,20.6,0,No,10,9.8,39.5,990.8,4.5
11/22/2013,12.2,19.7,0.2,Yes,9.8,2.1,52.5,988.85,6
11/23/2013,13.6,22.3,2.4,No,5,10.5,48,1004.3,2.5
11/24/2013,15.5,21.8,0,No,5.6,9.4,62.5,1015.45,4
11/25/2013,16.4,21.8,0,No,7.6,0.1,55,1015.35,7.5
11/26/2013,15.9,23.6,0,No,5,10.5,61,1010.8,4
11/27/2013,19.5,24.6,0.2,Yes,7.8,0.7,73,1004.45,7.5
11/28/2013,19.3,23.3,10.8,Yes,2.6,6.9,85.5,1002.1,7
11/29/2013,15,24.9,11.2,No,4.8,12.3,59.5,1008.55,1.5
11/30/2013,17.6,31.3,0,No,7.6,10.9,25,1006.85,5
12/1/2013,16.6,23.8,0,No,12,12.9,65,1009.15,1
12/2/2013,18.4,33.2,0,No,8,8,43,1006.65,6
12/3/2013,18.4,21.8,0,No,10,2.2,58,1019.35,7
12/4/2013,19.3,27,0,No,4.8,6.7,74,1011.8,6.5
12/5/2013,20.8,34.8,0,No,6.4,9.8,56.5,1005.5,6.5
12/6/2013,20,26.1,0,Yes,7.6,4.9,79.5,1008.15,7.5
12/7/2013,18.2,22.3,6.8,Yes,4.4,6.3,73,1012.6,6.5
12/8/2013,17.4,25.9,1.8,No,5.4,9.9,70.5,1008.75,4.5
12/9/2013,19.5,23.4,0,Yes,9.4,5.2,68.5,1008.35,5.5
12/10/2013,17.2,19.9,3.4,Yes,4.6,0,74,1014.4,8
12/11/2013,17.4,24.5,3.6,Yes,4,0,88.5,1012.85,8
12/12/2013,17,32.9,28.2,No,4.8,7.5,53.5,992.65,5
12/13/2013,19.2,25.4,0,No,12,12.7,37,996.95,3
12/14/2013,16.7,23.8,0,No,9.8,12.1,41,1007.35,3
12/15/2013,15,24.1,0,No,6.8,13,53,1011.6,1
12/16/2013,17.7,26,0,No,9.2,9.6,70.5,1009.95,3.5
12/17/2013,19.3,27.4,0,No,4.8,8.4,66.5,1003.1,4
12/18/2013,17.3,26.4,0.6,No,10.2,12.2,62.5,1006.85,4
12/19/2013,15.7,20.4,0,No,10.6,4.6,63,1019.25,6
12/20/2013,14.3,22.1,0.4,No,5.2,12,55,1020.95,2.5
12/21/2013,15.9,24.1,0,No,7.2,12.1,56.5,1016.8,1
12/22/2013,19,26.9,0,No,10.8,6.5,58,1008.85,6.5
12/23/2013,18.7,20.7,0.4,No,4.8,0,77.5,1012.95,8
12/24/2013,16.4,23.3,0,No,0.8,7.2,66.5,1014,5
12/25/2013,19.1,26,0,No,4,10,73,1012.3,4
12/26/2013,20.5,27.2,0,Yes,7.2,0.7,74.5,1007,7.5
12/27/2013,19.7,28.3,7,No,6,12.1,67.5,1004.9,3
12/28/2013,20.7,24.9,0,Yes,8,7.2,70,1004.25,4
12/29/2013,18.2,27.6,2,No,5.6,10.9,76.5,1001.8,5.5
12/30/2013,19.2,31.5,0,No,7.4,13.1,39.5,1002.55,0
12/31/2013,18.4,34.7,0,No,9.8,12.9,47.5,1003.1,5
1/1/2014,18.8,22.7,0,No,11,5.9,59.5,1013.3,6.5
1/2/2014,17,23,0,No,9,0.5,53.5,1020.5,8
1/3/2014,18.7,24.6,0,No,5.4,11.3,58.5,1016.9,1.5
1/4/2014,19.5,27.9,0,No,10,12.2,63,1011.05,4
1/5/2014,20.2,28.3,0,No,10,11.8,70.5,1009.8,0
1/6/2014,20.7,33.1,0,No,9,9.3,69.5,1007.5,4
1/7/2014,20.4,22.4,0,No,9.8,0,75,1012.9,8
1/8/2014,17.2,22.6,0.4,No,7.6,5.9,50.5,1019.5,6.5
1/9/2014,18.3,23.4,0,No,7.6,6.1,53.5,1015.5,6.5
1/10/2014,17.4,24.6,0,Yes,6.6,8.7,57.5,1012.65,2
1/11/2014,18.7,26.8,1.2,No,8.8,11.4,66,1015.9,3.5
1/12/2014,19.6,26.2,0.2,No,4.2,11.1,65,1018,3
1/13/2014,20.8,29.7,0,No,10.2,13,58,1012.9,0.5
1/14/2014,23,33.4,0,Yes,14.2,9.4,50,1007.55,5.5
1/15/2014,18.8,25,1.8,No,10.2,10.1,65,1010.75,1
1/16/2014,17.7,22.6,0,No,10.4,6.5,50,1020.5,4.5
1/17/2014,14.8,23.3,0,No,5.6,12.7,54,1020.95,2
1/18/2014,16.4,25.1,0,No,11,12.7,56,1017.15,3
1/19/2014,20.1,28.7,0,Yes,9,12.4,57.5,1012.15,0.5
1/20/2014,21.3,31.1,1.6,No,12.8,7.4,60.5,1010,4
1/21/2014,23.4,33.6,1,No,8,9.8,48.5,1007.2,5
1/22/2014,25,31.7,0,No,14.2,11.9,58.5,1008.4,1.5
1/23/2014,24.8,40.9,0,No,10.6,11.1,37.5,1003.8,4
1/24/2014,20.5,25.9,0,No,13.6,6.8,54,1018.9,6
1/25/2014,20.8,26.8,0,Yes,6.8,1.2,76,1019.2,7.5
1/26/2014,20.2,23.9,14.2,Yes,1.8,1.7,94,1020.5,8
1/27/2014,19.9,27.1,4.4,No,1.8,12.3,69,1017.25,3.5
1/28/2014,21.2,28.3,0,No,8.6,12.5,70,1017.55,1
1/29/2014,21.1,28.2,0,No,10.2,13,65.5,1017.25,0.5
1/30/2014,21.8,29.1,0,No,10.6,11.5,65,1015.85,2.5
1/31/2014,21.2,28.1,0,No,9.2,11.1,68.5,1016.15,3
2/1/2014,22.9,28.3,0,No,6.4,9.8,71,1014.25,4
2/2/2014,21.8,28,0,No,10.8,7.5,61.5,1010.4,5.5
